DIMENSION_ID,CATEGORY,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,STATUS,SOURCE_ID,CONFLICT_ID,ENGINEERING_USE,MISSING_INFORMATION,NEXT_REQUIRED_EVIDENCE,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME
D-001,Overall seat envelope,overall width,SYSTEM,500,mm,CONFLICTED,V7 R0 / R1,C-003,Packaging envelope,Not a vehicle-specific released dimension; conflicts with reconstructed envelope.,Controlled geometry lineage required.,YES,NO,YES
D-002,Overall seat envelope,overall depth,SYSTEM,520,mm,CONFLICTED,V7 R0 / R1,C-003,Packaging envelope,Coordinate convention conflicts with current model frame; not a released longitudinal package value.,Controlled geometry lineage required.,YES,NO,YES
D-003,Overall seat envelope,overall height,SYSTEM,860,mm,CONFLICTED,V7 R0 / R1,C-003,Packaging envelope,Current reconstruction bbox differs from this concept envelope.,Controlled geometry lineage required.,YES,NO,YES
D-004,Overall seat envelope,folded/rotated envelope,SYSTEM,,,MISSING,AUDIT-002,,Vehicle/package definition,No explicit controlled value in Master Audit.,Authoritative geometry/package definition required.,YES,NO,YES
D-005,Overall seat envelope,minimum envelope,SYSTEM,,,MISSING,AUDIT-002,,Vehicle/package definition,No explicit controlled value in Master Audit.,Authoritative geometry/package definition required.,YES,NO,YES
D-006,Overall seat envelope,maximum envelope,SYSTEM,,,MISSING,AUDIT-002,,Vehicle/package definition,No explicit controlled value in Master Audit.,Authoritative geometry/package definition required.,YES,NO,YES
D-007,Overall seat envelope,left/right asymmetry,SYSTEM,,,MISSING,AUDIT-002,,Vehicle/package definition,No explicit controlled value in Master Audit.,Authoritative geometry/package definition required.,YES,NO,YES
D-008,Overall seat envelope,front/rear packaging envelope,SYSTEM,,,MISSING,AUDIT-002,,Vehicle/package definition,No explicit controlled value in Master Audit.,Authoritative geometry/package definition required.,YES,NO,YES
D-009,Seat cushion,cushion width,SYSTEM,,,MISSING,AUDIT-002,,Seat occupant/pelvic package,No explicit controlled value in Master Audit.,Explicitly separated from source assumptions.,YES,NO,YES
D-010,Seat cushion,cushion depth,SYSTEM,,,MISSING,AUDIT-002,,Seat occupant/pelvic package,No explicit controlled value in Master Audit.,Explicitly separated from source assumptions.,YES,NO,YES
D-011,Seat cushion,cushion height,SYSTEM,,,MISSING,AUDIT-002,,Seat occupant/pelvic package,No explicit controlled value in Master Audit.,Explicitly separated from source assumptions.,YES,NO,YES
D-012,Seat cushion,effective cushion length,SYSTEM,,,MISSING,AUDIT-002,,Seat occupant/pelvic package,No explicit controlled value in Master Audit.,Explicitly separated from source assumptions.,YES,NO,YES
D-013,Seat cushion,front edge position,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-014,Seat cushion,pelvic support geometry,140,,,MISSING,AUDIT-002,,Seat occupant/pelvic package,No explicit controlled value in Master Audit.,Explicitly separated from source assumptions.,YES,NO,YES
D-015,Seat cushion,pelvic ramp geometry,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-016,Seat cushion,anti-submarining geometry,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-017,Seat cushion,cushion thickness,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-018,Seat cushion,structural pan thickness,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-019,Seat cushion,trim/foam envelope,140,,,MISSING,Current source set,,Seat occupant/pelvic package,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Explicitly separated from source assumptions.,YES,NO,YES
D-020,Seat pan,seat pan width,140,450,mm,CONFLICTED,V7 R0 / R1,C-006,Pelvic support geometry,Current reconstructed pan primitive 420 mm; embedded param register uses different depth.,Source assumption; not released dimension.,YES,NO,YES
