DOMAIN,MASTER_AUDIT_STATUS,CANONICAL_BASELINE_STATUS,CANONICAL_DATA_STATE,CONFLICTED,MANDATORY_EVIDENCE,NEXT_GATE_EVIDENCE,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,NOTES
Geometry,PARTIAL,PARTIAL,DEFINED_WITH_LIMITS,NO,Real reconstruction geometry exists; historical authoritative binary master not established.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Real reconstruction geometry exists; historical authoritative binary master not established.
Dimensions,PARTIAL,PARTIAL,NO_SINGLE_CANONICAL_VALUE,YES,Nominal source dimensions exist but conflict with reconstruction/model dimensions.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,Nominal source dimensions exist but conflict with reconstruction/model dimensions.
Datums,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,YES,Coordinate conventions conflict; vehicle datum absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,Coordinate conventions conflict; vehicle datum absent.
H/R-point,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Only a non-regulatory placeholder exists; OEM input required.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,Only a non-regulatory placeholder exists; OEM input required.
Packaging,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,YES,"Vehicle envelope, H/R point and clearance definition absent.","Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,"Vehicle envelope, H/R point and clearance definition absent."
Vehicle interfaces,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,YES,"Hardpoints, BIW and restraint anchors absent.","Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,"Hardpoints, BIW and restraint anchors absent."
Kinematics,PARTIAL,PARTIAL,DEFINED_WITH_LIMITS,YES,"Model DOF and limits executed, physical semantics unproven.","Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,"Model DOF and limits executed, physical semantics unproven."
Mass,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No controlled mass.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No controlled mass.
CG,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No controlled CG.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No controlled CG.
Inertia,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No controlled inertia tensor.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No controlled inertia tensor.
Materials,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No controlled grade/density/certificates.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No controlled grade/density/certificates.
Fasteners,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No released fastener/preload data.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No released fastener/preload data.
Joints,PARTIAL,PARTIAL,NO_SINGLE_CANONICAL_VALUE,YES,Model-defined joints exist; physical compliance/clearance absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,Model-defined joints exist; physical compliance/clearance absent.
Loads,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No controlled project load magnitudes/allowables.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No controlled project load magnitudes/allowables.
