VALUE,UNIT,PARAMETER,SOURCE,PAGE_LOCATION,REFERENCE,STATUS,VALIDITY,CONFLICT,USE_ALLOWED_Y_N,NOTES
500,mm,Overall width,V7 R0 / R1,R0/R1 package,SYSTEM,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
520,mm,Overall depth,V7 R0 / R1,R0/R1 package,SYSTEM,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
860,mm,Overall height,V7 R0 / R1,R0/R1 package,SYSTEM,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
25,deg,Nominal rearward recline,V7 R0 / R1,R0/R1 package,160/J,DESIGN_ASSUMPTION,engineering concept / not release,N,Y,Use only as explicitly labeled source assumption.
480,mm,Rail nominal length,V7 R0 / R1,R0/R1 package,110L/110R,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
420,mm,Rail spacing,V7 R0 / R1,R0/R1 package,110L/110R,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
450,mm,Carriage width,V7 R0 / R1,R0/R1 package,120,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
360,mm,Carriage length/depth,V7 R0 / R1,R0/R1 package,120,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
450,mm,Seat pan width,V7 R0 / R1,R0/R1 package,140,DESIGN_ASSUMPTION,engineering concept / not release,N,N,Use only as explicitly labeled source assumption.
470,mm,Seat pan depth,V7 R0 / R1,R0/R1 package,140,DESIGN_ASSUMPTION,engineering concept / not release,N,N,Use only as explicitly labeled source assumption.
450,mm,Seatback width,V7 R0 / R1,R0/R1 package,160,DESIGN_ASSUMPTION,engineering concept / not release,Y,N,Use only as explicitly labeled source assumption.
620,mm,Seatback height,V7 R0 / R1,R0/R1 package,160,DESIGN_ASSUMPTION,engineering concept / not release,N,N,Use only as explicitly labeled source assumption.
180,mm,Ride-down stroke target,V7 R0 / R1 + P0 firewall,R0/R1 package,120/130L/130R,DESIGN_ASSUMPTION,engineering concept / not release,N,N,Use only as explicitly labeled source assumption.
