MASS_ID,GROUP,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,STATUS,SOURCE_ID,CONFLICT_ID,NOTES,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME
M-001,Component mass,component mass,100,,kg,MISSING,V7_R5_MASS,,Mass not promoted without controlled material/density mapping.,NO,NO,YES
M-002,Component CG,component CG X,100,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-003,Component CG,component CG Y,100,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-004,Component CG,component CG Z,100,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-005,Component inertia,Ixx,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-006,Component inertia,Iyy,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-007,Component inertia,Izz,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-008,Component inertia,Ixy,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-009,Component inertia,Ixz,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-010,Component inertia,Iyz,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-011,Principal inertia,principal moments,100,,kg·mm²,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-012,Principal inertia,principal axes,100,,dimensionless/frame,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-013,Component mass,component mass,110L,,kg,MISSING,V7_R5_MASS,,Mass not promoted without controlled material/density mapping.,NO,NO,YES
M-014,Component CG,component CG X,110L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-015,Component CG,component CG Y,110L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-016,Component CG,component CG Z,110L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-017,Component inertia,Ixx,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-018,Component inertia,Iyy,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-019,Component inertia,Izz,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-020,Component inertia,Ixy,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-021,Component inertia,Ixz,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-022,Component inertia,Iyz,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-023,Principal inertia,principal moments,110L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-024,Principal inertia,principal axes,110L,,dimensionless/frame,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-025,Component mass,component mass,110R,,kg,MISSING,V7_R5_MASS,,Mass not promoted without controlled material/density mapping.,NO,NO,YES
M-026,Component CG,component CG X,110R,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-027,Component CG,component CG Y,110R,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-028,Component CG,component CG Z,110R,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-029,Component inertia,Ixx,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-030,Component inertia,Iyy,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-031,Component inertia,Izz,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-032,Component inertia,Ixy,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-033,Component inertia,Ixz,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-034,Component inertia,Iyz,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-035,Principal inertia,principal moments,110R,,kg·mm²,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-036,Principal inertia,principal axes,110R,,dimensionless/frame,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-037,Component mass,component mass,120,,kg,MISSING,V7_R5_MASS,,Mass not promoted without controlled material/density mapping.,NO,NO,YES
M-038,Component CG,component CG X,120,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-039,Component CG,component CG Y,120,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-040,Component CG,component CG Z,120,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-041,Component inertia,Ixx,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-042,Component inertia,Iyy,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-043,Component inertia,Izz,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-044,Component inertia,Ixy,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-045,Component inertia,Ixz,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-046,Component inertia,Iyz,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-047,Principal inertia,principal moments,120,,kg·mm²,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-048,Principal inertia,principal axes,120,,dimensionless/frame,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
M-049,Component mass,component mass,130L,,kg,MISSING,V7_R5_MASS,,Mass not promoted without controlled material/density mapping.,NO,NO,YES
M-050,Component CG,component CG X,130L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-051,Component CG,component CG Y,130L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-052,Component CG,component CG Z,130L,,mm,MISSING,V7_R5_MASS,,No controlled component CG.,NO,NO,YES
M-053,Component inertia,Ixx,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-054,Component inertia,Iyy,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-055,Component inertia,Izz,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-056,Component inertia,Ixy,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-057,Component inertia,Ixz,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-058,Component inertia,Iyz,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled component inertia tensor.,NO,NO,YES
M-059,Principal inertia,principal moments,130L,,kg·mm²,MISSING,V7_R5_MASS,,No controlled principal inertia.,NO,NO,YES
