ARTIFACT_ID,PATH,SHA256,REVISION,V7_REFERENCE,PURPOSE,DISCLOSURE_CLASS,RADE_MAY_VIEW,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,CONFIDENTIALITY_CLASS
CTRL-001,V7_RADE_CAD_SOURCE_CONFLICT_REGISTER.csv,60f41d4cc7fe7a11b44e5bb559d207fde1cf97de7e2724fda0e7e2fb42f437c5,GATE-004,Cross-cutting,CAD source conflict and approval control,CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
CTRL-002,V7_RADE_PROPOSED_CHANGE_REGISTER.csv,483cbdd1303c41c70549198dde709f1f6db4fba9ad660e9baa89b3483466c1ef,GATE-004,Cross-cutting,Proposed-change traceability control,CONTROL,YES,YES,YES,CONTROLLED_INTERNAL
DOC-001,V7_RADE_CONTROLLED_WORKING_PACKAGE_MANIFEST.md,7f5a826b9915159b23f2374c40352078d48d399648f9cfb31e925ad886df7264,GATE-004,Cross-cutting,Package authority and source selection,PACKAGE_CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
DOC-002,V7_RADE_WORKING_COPY_PROTOCOL.md,540bddc6a155c59d0179d862f7feaaeac53a527e7f22f42ce6ecdbea7cebdd70,GATE-004,Cross-cutting,Working-copy governance,PACKAGE_CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
DOC-003,V7_RADE_WORKING_PACKAGE_EXECUTIVE_SUMMARY.md,1ecfa9c52a95f5b159745c282b6bff6fe5ba053bbb808820c165f073e87691bd,GATE-004,Cross-cutting,Executive disposition,PACKAGE_CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
REF-001,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DATA_READINESS_MATRIX.csv,2f755d6e051ba022e984d76dae802bc78d6f9c6baf747ce32b0537eaa6df9c11,V7-RC-003,Cross-cutting,Data readiness/gating reference,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-002,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DATUM_AND_COORDINATE_BASELINE.md,0721c90a100e97db0f6a49f922aece5252a7e90649270ba3a425c8ef384f4ecb,V7-RC-003,SYSTEM,Coordinate/datum control; project frame conflicted,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-003,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DIMENSION_BASELINE.csv,bcff50c577285208387594bed50fa0bd9b2457053385c9942540cef90aa35fba,V7-RC-003,100–210,Dimension reference; manufacturing values not released,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-004,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_INTERFACES_AND_JOINT_BASELINE.csv,400cfcf21ec61e06ae15e4aba5c6c880c5b645cae790d67e48326c9a9ddbe034,V7-RC-003,IF-R4-01..09,Interface/joint control for Stage-0,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-005,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_MASS_PROPERTY_BASELINE.csv,ba675b55ebd6718baf07bd01d2901e91deb94acc781abd989e69062cab452351,V7-RC-003,100–210 + occupant,Fail-closed mass-property reference,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-006,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_STATE_MACHINE_BASELINE.md,bbcbf20e134e871496a4cb8417356e2a495eb5d86d11377c1376846c48120976,V7-RC-003,S0–S5,State vocabulary and evidence-layer control,CANONICAL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
