CONFLICT_ID,SOURCE_A,VALUE_A,SOURCE_B,VALUE_B,WHY_CONFLICT,ENGINEERING_IMPACT,REQUIRED_DECISION,RESOLUTION_STATUS,CANONICAL_WINNER,PRESERVE_BOTH_VALUES,REQUIRED_EVIDENCE,PROVENANCE_PATHS,COMMIT_SHA,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME
C-001,V5_PARAMS / V7_R0,X=lateral; Y=longitudinal; Z=vertical,V7_RECON_SCRIPT / V7_R4_MODEL,X=longitudinal; Y=lateral; Z=up,Coordinate axes are reversed between source concept and current model.,Invalidates direct interpretation of many coordinates and package dimensions until mapped.,Controlled datum/frame reconciliation; no silent transform.,OPEN_CONFLICT,NONE,YES,Controlled datum/frame reconciliation; no silent transform.,V5_PARAMS:N_IOCARS_V5_Design_Parameters.txt; V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py; V7_R4_MODEL:V7_R4_KINEMATIC_CLOSURE/V7_R4_KINEMATIC_MODEL.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-002,V7_R0 / R1 H-point,"(0,185,330) mm placeholder",V7_R1 / current,H-point unfrozen / OEM required,R0 contains a clearly labeled placeholder while later baseline requires vehicle-specific input.,Risk of falsely presenting placeholder as regulatory H-point.,OEM H/R-point package; placeholder remains non-authoritative.,OPEN_CONFLICT,NONE,YES,OEM H/R-point package; placeholder remains non-authoritative.,,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-003,V7_R0/R1 nominal envelope,500×520×860 mm,Current reconstruction STEP,635×900×870 mm bbox,Nominal concept envelope does not match current reconstructed model bbox.,Packaging and dimensional traceability are unresolved.,Controlled geometry lineage and envelope definition.,OPEN_CONFLICT,NONE,YES,Controlled geometry lineage and envelope definition.,,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-004,V7_R0/R1 rail length,480 mm,V7_RECON_SCRIPT,420 mm primitive,Source dimension and reconstructed primitive differ.,Stroke/rail packaging and manufacturing definition cannot be released.,Controlled rail geometry reconciliation.,OPEN_CONFLICT,NONE,YES,Controlled rail geometry reconciliation.,V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-005,V7_R0/R1 carriage,450×360 mm,V7_RECON_SCRIPT,470×460×28 mm,Concept carriage envelope differs from current reconstruction.,"Packaging, mass and interface mapping affected.",Controlled carriage definition.,OPEN_CONFLICT,NONE,YES,Controlled carriage definition.,V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-006,V7_R0/R1 seat pan,450×470 mm,V7_RECON_SCRIPT + embedded parameter,420×430×22 mm geometry; 500 mm pan-depth parameter,Three incompatible size expressions exist across source and model.,Pelvic packaging and structural definition are not coherent.,Controlled seat-pan source/dimension reconciliation.,OPEN_CONFLICT,NONE,YES,Controlled seat-pan source/dimension reconciliation.,V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-007,V7_R0/R1 seatback,450×620 mm,V7_RECON_SCRIPT embedded parameter,650 mm parameter; 620 mm upright primitive,"Nominal source, embedded parameter and model geometry differ.",Occupant packaging and envelope uncertain.,Controlled seatback envelope definition.,OPEN_CONFLICT,NONE,YES,Controlled seatback envelope definition.,V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-008,V7 R0/R1 + P0,180 mm stroke target,V7_RECON_SCRIPT,350 mm ride-down budget parameter,Both are design-level values with different meanings; source does not define a controlled distinction sufficient for release.,Energy-management travel can be misinterpreted.,Define budget vs stroke formally and validate against load case.,OPEN_CONFLICT,NONE,YES,Define budget vs stroke formally and validate against load case.,V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-009,V7_R2_EXEC_REPORT,200 guidance at Y=±250 after correction,V7_RECON_SCRIPT,200 guidance at Y=±200,Current reconstruction does not reflect reported R2 guidance relocation.,Clearance/interference findings may be version-inconsistent.,Version-specific geometry verification and lineage.,OPEN_CONFLICT,NONE,YES,Version-specific geometry verification and lineage.,V7_EXEC_REPORT:V7_ENGINEERING_BASELINE/MANIFESTS/V7_ENGINEERING_EXECUTIVE_REPORT.md; V7_RECON_SCRIPT:V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-010,V7_R2_EXECUTION,q1≈180 mm/s; q2≈35 deg/s,V7_R4_EXECUTION,q1 max 257.142857 / min -300 mm/s; q2 max 38.888889 deg/s,Model trajectory behavior changed between revisions.,Dynamic interpretation must be revision-bound.,Do not select a model result without controlled revision rationale.,OPEN_CONFLICT,NONE,YES,Do not select a model result without controlled revision rationale.,V7_R2_EXECUTION:V7_ENGINEERING_BASELINE_R2_EXECUTED/KINEMATICS/V7_R2_KINEMATIC_EXECUTION.csv; V7_R4_EXECUTION:V7_R4_KINEMATIC_CLOSURE/V7_R4_KINEMATIC_EXECUTION.csv,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-011,V6_DISCLOSURE,S2 Ride-down; S3 Rotation control; S4 Rebound control,Current controlled project vocabulary,S2 Pelvis Lock/Capture; S3 Ride-Down; S4 Rotation/Rebound,State semantics/nomenclature drift.,Traceability and test requirements can be misassigned.,Controlled master state vocabulary.,OPEN_CONFLICT,NONE,YES,Controlled master state vocabulary.,V6_DISCLOSURE:V7_MASTER_SOURCE/T_OCS_V6_Patent_Draft_Invention_Disclosure.pdf,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-012,V7_R4_STATE,"S0_NORMAL, ARMED, RIDE_DOWN, REBOUND_CONTROL, SECURE",P0 physical implementation,Six-state vocabulary including explicit Pelvis Lock/Capture,Current model state machine omits explicit S2 in the operational state list.,Implementation does not yet prove the declared physical sequence.,Controlled model-state implementation; no silent mapping.,OPEN_CONFLICT,NONE,YES,Controlled model-state implementation; no silent mapping.,V7_R4_STATE:V7_R4_KINEMATIC_CLOSURE/V7_R4_STATE_MACHINE.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,NO,NO,YES
C-013,V7_R0_PACKAGE,40 named components,V7_R1 STEP / current reconstruction,35 solids / 21 solids / 16 BOM items,Different representation granularities exist.,Historical lineage and manufacturing BOM mapping are incomplete.,Authoritative assembly identity/traceability map.,OPEN_CONFLICT,NONE,YES,Authoritative assembly identity/traceability map.,V7_R0_PACKAGE:T_OCS_V7_R0_Engineering_Design_Package.pdf,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-014,V7_DISCLOSURE/BOM,190 and 200 stable architecture modules,V7_BOM / P0 models,190/200 marked optional extension in current BOM/model,Functional scope classification differs.,Configuration control and completeness of occupant interface may be ambiguous.,Controlled configuration decision.,OPEN_CONFLICT,NONE,YES,Controlled configuration decision.,V7_DISCLOSURE:V7_MASTER_SOURCE/T_OCS_V7_Patent_Draft_Invention_Disclosure(2).pdf; V7_BOM:V7_ENGINEERING_BASELINE/BOM/V7_BOM.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-015,V7_R4_INTERFACE_FORENSICS,9 interfaces semantics pending,V7_CURRENT_INTERFACES,9 interfaces design-intent-defined; source-supported 2; physical 0,“Defined” is being used at different evidence layers.,A design-intent interface may be mistaken for validated mechanics.,"Keep semantic definition, geometric evidence and physical validation as separate layers.",OPEN_CONFLICT,NONE,YES,"Keep semantic definition, geometric evidence and physical validation as separate layers.",V7_R4_INTERFACE_FORENSICS:V7_ENGINEERING_BASELINE_R4_FINAL/INTERFACES/V7_R4_INTERFACE_FORENSICS.json; V7_CURRENT_INTERFACES:V7_CURRENT_ENGINEERING_INTERFACE_DEFINITION_R4/V7_CURRENT_ENGINEERING_INTERFACE_DEFINITION.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
C-016,V7_R0_PACKAGE,Concept material selections including DP grades/10.9/SCM440,V7_R5_MATERIAL / FASTENER,All grade/density/fastener fields null / external-required,Legacy concept choices are not current controlled assignments.,CAE/manufacturing release could be corrupted by stale concept data.,Keep legacy selections as DESIGN_ASSUMPTION only until certified.,OPEN_CONFLICT,NONE,YES,Keep legacy selections as DESIGN_ASSUMPTION only until certified.,V7_R0_PACKAGE:T_OCS_V7_R0_Engineering_Design_Package.pdf; V7_R5_MATERIAL:V7_ENGINEERING_R5/V7_MATERIAL_DEFINITION_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,YES,NO,YES
