RECORD_ID,RECORD_TYPE,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE_ID,REPOSITORY_PATH,COMMIT_SHA,SOURCE_SHA256,SOURCE_REVISION,ORIGINAL_AUDIT_STATUS,CANONICAL_CLASSIFICATION,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE,CONFLICT_ID,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,NORMALIZATION_NOTE
K-0001,PARAMETER,Overall width,SYSTEM,500,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,V7 nominal concept envelope,High,Overall package definition,Not a vehicle-specific released dimension; conflicts with reconstructed envelope.,Source reconciliation + vehicle package,High,Controlled CAD/drawing + vehicle package,C-003,NO,NO,YES,
K-0002,PARAMETER,Overall depth,SYSTEM,520,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,V7 nominal concept envelope,High,Overall package definition,Coordinate convention conflicts with current model frame; not a released longitudinal package value.,Datum reconciliation + vehicle package,High,Controlled coordinate/datum definition,C-003,NO,NO,YES,
K-0003,PARAMETER,Overall height,SYSTEM,860,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,V7 nominal concept envelope,High,Overall package definition,Current reconstruction bbox differs from this concept envelope.,Authoritative geometry + package,High,Controlled envelope drawing + metrology,C-003,NO,NO,YES,
K-0004,PARAMETER,Nominal rearward recline,160/J,25,deg,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,DESIGN_ASSUMPTION,Concept-board parameter,Medium,Nominal occupant posture / packaging,Not equivalent to physical end-stop capability or vehicle-specific seating requirement.,H/R point + packaging + released hinge limits,High,Vehicle-specific seating definition,,YES,NO,YES,
K-0005,PARAMETER,Rail nominal length,110L/110R,480,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept-board dimension,High,Rail travel packaging,"Current reconstruction primitive is 420 mm. This is a material conflict, not a resolved dimension.",Source-to-CAD reconciliation,Critical,Authoritative rail drawing,C-004,YES,NO,YES,
K-0006,PARAMETER,Rail spacing,110L/110R,420,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,DESIGN_ASSUMPTION,R1 CAD assumption,High,Bilateral load path / package,"Current reconstruction uses ±210 in its own frame, but frame semantics conflict with V5/R0.",Coordinate reconciliation + vehicle hardpoints,Critical,Vehicle hardpoint mapping + rail datum,,YES,NO,YES,
K-0007,PARAMETER,Carriage width,120,450,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Carriage package,Current reconstruction primitive is 470 mm in one axis.,Source-to-CAD reconciliation,High,Released carriage definition,C-005,NO,NO,YES,
K-0008,PARAMETER,Carriage length/depth,120,360,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Carriage package,Current reconstruction primitive is 460 mm in one axis; axis meaning itself is frame-dependent.,Source-to-CAD reconciliation,High,Released carriage definition,C-005,NO,NO,YES,
K-0009,PARAMETER,Seat pan width,140,450,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Pelvic control / packaging,Current reconstructed pan primitive 420 mm; embedded param register uses different depth.,Source-to-CAD reconciliation,High,Released pan definition,C-006,NO,NO,YES,
K-0010,PARAMETER,Seat pan depth,140,470,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Pelvic control / packaging,Current reconstructed pan primitive 430 mm; embedded parameter register gives 500 mm.,Source-to-CAD reconciliation,Critical,Controlled seat-pan definition,C-006,NO,NO,YES,
K-0011,PARAMETER,Seatback width,160,450,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Torso support / packaging,Current reconstruction does not expose an authoritative overall released width.,Source-to-CAD reconciliation,High,Released seatback drawing,C-007,YES,NO,YES,
K-0012,PARAMETER,Seatback height,160,620,mm,V7 R0 / R1,,,,V7-R0/V7-R1,DESIGN_ASSUMPTION,CONFLICTED,Concept CAD assumption,High,Torso/head package,Embedded reconstruction parameter uses 650 mm; current model has 620 mm uprights.,Source-to-CAD reconciliation,High,Released seatback drawing,C-007,YES,NO,YES,
K-0013,PARAMETER,Ride-down stroke target,120/130L/130R,180,mm,V7 R0 / R1 + P0 firewall,,,,V7-R0/V7-R1/P0,DESIGN_ASSUMPTION,DESIGN_ASSUMPTION,"Design target, not measured",High,Energy-management travel,Not measured; separate embedded 350 mm ride-down budget exists.,Vehicle pulse + energy balance + absorber characterization,Critical,Controlled stroke + physical characterization,,NO,NO,YES,
K-0014,PARAMETER,Lateral adjustment concept,SYSTEM,±25,mm,V7 R0,,,,V7-R0,DESIGN_ASSUMPTION,DESIGN_ASSUMPTION,Concept-board value,Medium,Adjustment/package,Mechanism and hardpoint definition absent.,Vehicle package + mechanism definition,High,Controlled adjustment definition,,NO,NO,YES,
K-0015,PARAMETER,H-point placeholder X,SYSTEM,0,mm,V7 R0,,,,V7-R0,DESIGN_ASSUMPTION,CONFLICTED,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; must not be reused as vehicle truth.,OEM H/R point input,Critical,OEM/vehicle package,C-002,YES,NO,YES,
K-0016,PARAMETER,H-point placeholder Y,SYSTEM,185,mm,V7 R0,,,,V7-R0,DESIGN_ASSUMPTION,CONFLICTED,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; vehicle datum is absent.,OEM H/R point input,Critical,OEM/vehicle package,C-002,YES,NO,YES,
K-0017,PARAMETER,H-point placeholder Z,SYSTEM,330,mm,V7 R0,,,,V7-R0,DESIGN_ASSUMPTION,CONFLICTED,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; vehicle datum is absent.,OEM H/R point input,Critical,OEM/vehicle package,C-002,YES,NO,YES,
K-0018,PARAMETER,V5/R0 coordinate convention,SYSTEM,X=lateral; Y=longitudinal (front = negative Y); Z=vertical,text,V5_PARAMS; V7_R0_PACKAGE,N_IOCARS_V5_Design_Parameters.txt; T_OCS_V7_R0_Engineering_Design_Package.pdf,f562a8cfe00835f1919ab3683bf17b3ae407100b; f562a8cfe00835f1919ab3683bf17b3ae407100b,e37682dd54bae5968df25233a08f067363f3f2005a475d2c7895ef8b5f39fc3c; 0c8a384202b9ba36e769baaeced3c1a69cad0818476322fc799148fbd7db4737,V5; V7-R0,SOURCE_SUPPORTED,CONFLICTED,Legacy/source definition,High,Coordinate/datum basis,Conflicts with current reconstruction and V7 R4 model frame.,Controlled frame reconciliation,Critical,Publish one controlled coordinate scheme,C-001,NO,NO,YES,
K-0019,PARAMETER,Current reconstruction coordinate convention,SYSTEM,X=longitudinal; Y=lateral; Z=up,text,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD script definition,High,Coordinate mapping,Conflicts with legacy V5/R0 convention; source-to-model transforms are not authoritative.,Frame reconciliation,Critical,Controlled model-to-vehicle transform,C-001,NO,NO,YES,
K-0020,PARAMETER,R4 model coordinate convention,SYSTEM,X=longitudinal carriage travel; Y=lateral vehicle-right; Z=up,text,V7_R4_MODEL,V7_R4_KINEMATIC_CLOSURE/V7_R4_KINEMATIC_MODEL.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,a02cc7a48eabb9e61fa71b697098bd977362758163389f6f4e986ead43441b73,V7-RC-004,MODEL_DERIVED,CONFLICTED,Kinematic model definition,High,Kinematic frame,Not established as physical vehicle datum; inherits unresolved source mapping.,Controlled frame + hardpoints,Critical,Datum release + independent verification,C-001,NO,NO,YES,
K-0021,PARAMETER,Current reconstruction assembly X extent,SYSTEM,635,mm,V7_CURRENT_HIER_STEP,V7_ENGINEERING_BASELINE/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,c6dea11388c4bd229f71c9b6a8814f83312a2d1976810c7512e38d6be107043d,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 500 mm nominal concept envelope.,Authoritative geometry reconciliation,Critical,Released envelope and metrology,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0022,PARAMETER,Current reconstruction assembly Y extent,SYSTEM,900,mm,V7_CURRENT_HIER_STEP,V7_ENGINEERING_BASELINE/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,c6dea11388c4bd229f71c9b6a8814f83312a2d1976810c7512e38d6be107043d,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 520 mm nominal concept envelope and is frame-dependent.,Coordinate reconciliation,Critical,Released envelope,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0023,PARAMETER,Current reconstruction assembly Z extent,SYSTEM,870,mm,V7_CURRENT_HIER_STEP,V7_ENGINEERING_BASELINE/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,c6dea11388c4bd229f71c9b6a8814f83312a2d1976810c7512e38d6be107043d,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 860 mm nominal concept envelope.,Geometry reconciliation,High,Released envelope,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0024,PARAMETER,R0 STEP solid count,SYSTEM,40,solids,V7_R0_STEP,T_OCS_V7_R0.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,995a0a298735c9317a0bd4aabd19d56d7f15433f396a93b24eadb723f6c1f039,V7-R0,MODEL_DERIVED,MODEL_ONLY,STEP readback,High,Original model inventory,Not equivalent to current BOM or reconstructed solid count.,Source lineage,High,Authoritative assembly mapping,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0025,PARAMETER,R1 STEP solid count,SYSTEM,35,solids,V7_R1_STEP,T_OCS_V7_R1_Parametric_Research_Model.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,448f5f6bab526c1a4aad8981e151037d2323d8c29f41f3f95cf43879bc24fa3a,V7-R1,MODEL_DERIVED,MODEL_ONLY,STEP readback,High,R1 model inventory,Differs from R0 and current reconstruction.,Source lineage,High,Body mapping/traceability,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
