INDEX,PATH,ARTIFACT_CLASS,REVISION,V7_REFERENCE,SHA256,SIZE_BYTES,RADE_MAY_VIEW,RADE_MAY_MODIFY,EVIDENCE_STATE,CONFIDENTIALITY
0,00_CONTROL/V7_RADE_STAGE0_CHANGE_CONTROL_PROTOCOL.md,CONTROL_DOCUMENT,Stage-0,Stage-0,2423387cd11847e5324d58f9d0913079d2cdc607a27d46e692827e7e3b968cee,1741,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
1,00_CONTROL/V7_RADE_STAGE0_DELIVERABLE_SCHEMA.md,CONTROL_DOCUMENT,Stage-0,Stage-0,1dbd67b99096369701141b6ebf1959a9e65fc76a700bcda557b6098140c286e2,2818,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
2,00_CONTROL/V7_RADE_STAGE0_DISCLOSURE_BOUNDARY.md,CONTROL_DOCUMENT,Stage-0,Stage-0,72f99c7f6d82782905aae683067314ab7ac8985efda04e18d5368e5747cb81cd,2054,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
3,00_CONTROL/V7_RADE_STAGE0_EXECUTIVE_BRIEF.md,CONTROL_DOCUMENT,Stage-0,Stage-0,e578ffd00bb91615169b9053b33d69ce3ce360c55190741d6da36e2b54644866,2386,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
4,00_CONTROL/V7_RADE_STAGE0_FINAL_GATE.json,CONTROL_DOCUMENT,Stage-0,Stage-0,b49951fad319e9aa03cfe42f40ede0a5a93a7a16c33b67263c894bd244e19c94,1841,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
5,00_CONTROL/V7_RADE_STAGE0_FINAL_PACKAGE_MANIFEST.md,CONTROL_DOCUMENT,Stage-0,Stage-0,4e08409c448c7b1924f30af0fe35ec732a75ccf0e0479c2ded3cc628e89e23b8,3437,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
6,00_CONTROL/V7_RADE_STAGE0_INPUT_MANIFEST.md,CONTROL_DOCUMENT,Stage-0,Stage-0,7378d1bcb95ca5670b4c907043bc1884f773779e7dc1e035e0e8d4d8cc0a721e,2796,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
7,00_CONTROL/V7_RADE_STAGE0_SCOPE_AND_ACCEPTANCE.md,CONTROL_DOCUMENT,Stage-0,Stage-0,542f474f36969a18ab14dcbdfdb4894ee44dcac03d0257f42c9b28dfcaab161d,6043,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
8,01_CAD_AUTHORITY/V7_R3_CANONICAL/CAD_STEP/P100_BASE.step,CANONICAL_CAD,V7-RC-003,V7-R3 CAD,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,52313,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
9,01_CAD_AUTHORITY/V7_R3_CANONICAL/CAD_STEP/P110L_RAIL.step,CANONICAL_CAD,V7-RC-003,V7-R3 CAD,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,29328,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
10,01_CAD_AUTHORITY/V7_R3_CANONICAL/CAD_STEP/P110R_RAIL.step,CANONICAL_CAD,V7-RC-003,V7-R3 CAD,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,29278,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
11,01_CAD_AUTHORITY/V7_R3_CANONICAL/CAD_STEP/P120_CARRIAGE.step,CANONICAL_CAD,V7-RC-003,V7-R3 CAD,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,48695,YES,NO,CONTROLLED_REFERENCE,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
