GAP_ID,GATE,BLOCKER,V7_REFERENCE,CURRENT_STATUS,WHY_BLOCKING,EVIDENCE_STATE,NEXT_REQUIRED_EVIDENCE,RISK
A-001,A — Coherent engineering definition,Coordinate/datum reconciliation,SYSTEM/100–210/J,BLOCKED,Conflicting coordinate conventions prevent safe coordinate interpretation.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-002,A — Coherent engineering definition,Authoritative source-to-CAD component mapping,100–210/J,BLOCKED,R0/R1/current representations have different counts and reconstruction status.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-003,A — Coherent engineering definition,Vehicle/H-R/hardpoint package,100/110L/110R/140/190/200,BLOCKED,"Vehicle-specific H/R points, hardpoints and package envelope absent.",Partial/model/source evidence only,OEM/vehicle package,Critical
A-004,A — Coherent engineering definition,Released dimensions / PMI / GD&T,100–210/J,BLOCKED,Exact manufacturing-critical dimensions and tolerance definitions are not released.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-005,A — Coherent engineering definition,Joint and end-stop semantics,120/150L/150R/160/J/170/180,BLOCKED,"Current kinematics are model-defined; physical joint origins, clearances and stops are unproven.",Partial/model/source evidence only,OEM/vehicle package,Critical
A-006,A — Coherent engineering definition,State-machine implementation consistency,140/170/180/210,BLOCKED,Current model and older disclosures do not use the same state mapping.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-007,A — Coherent engineering definition,Material and section definition,100–210/J,BLOCKED,Current controlled material fields are null.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-008,A — Coherent engineering definition,Fastener/joint definition,Interfaces IF-R4-01..09,BLOCKED,"Fastener, preload and joint compliance data are null.",Partial/model/source evidence only,OEM/vehicle package,Critical
A-009,A — Coherent engineering definition,Absorber law,130L/130R,BLOCKED,No F-x/F-v/hysteresis/temperature characterization.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-010,A — Coherent engineering definition,Lock implementation/fault behavior,170,BLOCKED,No physical engagement/release/fault evidence.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-011,A — Coherent engineering definition,Rebound behavior,180,BLOCKED,No physical reverse-motion characterization.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-012,A — Coherent engineering definition,Restraint and occupant guidance,190/200,BLOCKED,Vehicle-specific restraint/package and dynamic evidence absent.,Partial/model/source evidence only,OEM/vehicle package,Critical
A-013,A — Coherent engineering definition,Mass/CG/inertia,SYSTEM,BLOCKED,No controlled density/material map and no mass-properties evidence.,Partial/model/source evidence only,OEM/vehicle package,Critical
B-001,B — Manufacturable prototype,Released fabrication geometry,100–210/J,BLOCKED,No manufacturing drawings/PMI/GD&T.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
B-002,B — Manufacturable prototype,Materials/certificates,100–210/J,BLOCKED,No controlled grades/density/certification.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
B-003,B — Manufacturable prototype,Fasteners/preload/install process,Interfaces,BLOCKED,No released fastener/joint data.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
B-004,B — Manufacturable prototype,Weld/joining qualification,100/120/160,BLOCKED,Concept weld method only.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
B-005,B — Manufacturable prototype,Physical absorber/lock/rebound articles,130/170/180,BLOCKED,Required behavior uncharacterized.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
B-006,B — Manufacturable prototype,Fixture/hardpoint definition,100/110/120/190,BLOCKED,No vehicle/fixture hardpoints.,Definition/test prerequisites absent,Release drawings/materials/joint specs and build-controlled prototype evidence,Critical
C-001,C — CAE execution,Material/density,100–210/J,BLOCKED,Material fields unresolved.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-002,C — CAE execution,Mass/CG/inertia,SYSTEM,BLOCKED,No controlled properties.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-003,C — CAE execution,Contact/friction/damping,110/120/130/170/180,BLOCKED,Physical/contact parameters unresolved.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-004,C — CAE execution,Absorber F-x/F-v,130L/130R,BLOCKED,Test required.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-005,C — CAE execution,Vehicle pulse/initial velocity,SYSTEM,BLOCKED,OEM input required.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-006,C — CAE execution,Joint/fastener compliance,Interfaces,BLOCKED,No joint parameters.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-007,C — CAE execution,Restraint/occupant model,190/200,BLOCKED,No controlled coupled model.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
C-008,C — CAE execution,Acceptance criteria/solver configuration,SYSTEM,BLOCKED,Not frozen for execution.,CAE dependency graph blocked,Complete controlled CAE input deck and authorized execution,Critical
D-001,D — Dynamic bench testing,Instrumented hardware + calibrated test setup,130/170/180/210,BLOCKED,No physical absorber/lock/rebound characterization or test article release.,Gate prerequisites absent,Gate-specific controlled evidence and verification package,Critical
E-001,E — Sled testing,Vehicle/fixture/occupant/restraint package,100/110/120/140/190/200,BLOCKED,"No vehicle interface, H/R point, restraint anchors, occupant/ATD configuration or crash pulse.",Gate prerequisites absent,Gate-specific controlled evidence and verification package,Critical
F-001,F — Manufacturing release,"Released drawings, PMI/GD&T, material/fastener/process/inspection package",100–210/J,BLOCKED,Production-release evidence is absent.,Gate prerequisites absent,Gate-specific controlled evidence and verification package,Critical
