ARTIFACT_ID,PATH,SHA256,REVISION,V7_REFERENCE,PURPOSE,DISCLOSURE_CLASS,RADE_MAY_VIEW,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,CONFIDENTIALITY_CLASS
CAN-001,CANONICAL_V7_R3/CAD_STEP/P100_BASE.step,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,V7-RC-003,100,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-002,CANONICAL_V7_R3/CAD_STEP/P110L_RAIL.step,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,V7-RC-003,110L,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-003,CANONICAL_V7_R3/CAD_STEP/P110R_RAIL.step,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,V7-RC-003,110R,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-004,CANONICAL_V7_R3/CAD_STEP/P120_CARRIAGE.step,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,V7-RC-003,120,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-005,CANONICAL_V7_R3/CAD_STEP/P130L_ABSORBER.step,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,V7-RC-003,130L,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-006,CANONICAL_V7_R3/CAD_STEP/P130R_ABSORBER.step,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,V7-RC-003,130R,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-007,CANONICAL_V7_R3/CAD_STEP/P140_PELVIC_CONTROL.step,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,V7-RC-003,140,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-008,CANONICAL_V7_R3/CAD_STEP/P150L_ROTATION_LINK.step,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,V7-RC-003,150L,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-009,CANONICAL_V7_R3/CAD_STEP/P150R_ROTATION_LINK.step,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,V7-RC-003,150R,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-010,CANONICAL_V7_R3/CAD_STEP/P160_SEATBACK_FRAME.step,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,V7-RC-003,160,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-011,CANONICAL_V7_R3/CAD_STEP/P170_LOCK170.step,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,V7-RC-003,170,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-012,CANONICAL_V7_R3/CAD_STEP/P180_REBOUND.step,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,V7-RC-003,180,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-013,CANONICAL_V7_R3/CAD_STEP/P190_RESTRAINT_INTERFACES.step,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,V7-RC-003,190,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-014,CANONICAL_V7_R3/CAD_STEP/P200_OCCUPANT_GUIDANCE.step,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,V7-RC-003,200,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
