ARTIFACT_ID,EXACT_FILENAME,SOURCE_LOCATION,REVISION,SHA256,GEOMETRY_IDENTITY,APPROVAL_STATUS,COMPARISON_TO_R3,SOURCE_PROJECT_COMMIT_SHA,AUDIT_REPOSITORY_COMMIT_SHA
CAD-R3-001,P100_BASE.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P100_BASE.step,V7-RC-003,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,100,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-002,P110L_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P110L_RAIL.step,V7-RC-003,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,110L,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-003,P110R_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P110R_RAIL.step,V7-RC-003,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,110R,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-004,P120_CARRIAGE.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P120_CARRIAGE.step,V7-RC-003,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,120,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-005,P130L_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P130L_ABSORBER.step,V7-RC-003,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,130L,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-006,P130R_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P130R_ABSORBER.step,V7-RC-003,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,130R,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-007,P140_PELVIC_CONTROL.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P140_PELVIC_CONTROL.step,V7-RC-003,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,140,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-008,P150L_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P150L_ROTATION_LINK.step,V7-RC-003,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,150L,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-009,P150R_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P150R_ROTATION_LINK.step,V7-RC-003,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,150R,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-010,P160_SEATBACK_FRAME.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P160_SEATBACK_FRAME.step,V7-RC-003,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,160,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-011,P170_LOCK170.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P170_LOCK170.step,V7-RC-003,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,170,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-012,P180_REBOUND.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P180_REBOUND.step,V7-RC-003,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,180,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-013,P190_RESTRAINT_INTERFACES.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P190_RESTRAINT_INTERFACES.step,V7-RC-003,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,190,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-014,P200_OCCUPANT_GUIDANCE.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P200_OCCUPANT_GUIDANCE.step,V7-RC-003,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,200,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
