INTERFACE_ID,PARENT,CHILD,TYPE,MODEL_STATE,PHYSICAL_STATE,STAGE0_USE
IF-R3-01,120,130L,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess load/interface topology
IF-R3-02,120,130R,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess load/interface topology
IF-R3-03,120,140,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess structural coupling
IF-R3-04,120,200,GUIDED_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess guide/contact and clearance
IF-R3-05,130L,140,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess load transfer topology
IF-R3-06,130R,140,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess load transfer topology
IF-R3-07,140,160,STRUCTURAL_INTERFACE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess seatback load-path topology
IF-R3-08,150L,160,REVOLUTE_LINK,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess q2 linkage and clearance
IF-R3-09,150R,160,REVOLUTE_LINK,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess q2 linkage and clearance
IF-R3-10,160,J,REVOLUTE,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess hinge/pivot semantics
IF-R3-11,110L,120,PRISMATIC,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess rail/runner semantics
IF-R3-12,110R,120,PRISMATIC,MODEL_LEVEL_DEFINED,NOT_ESTABLISHED,Assess rail/runner semantics
IF-R3-13,170,120/160,STATE_CONSTRAINT,MODEL_LEVEL_DEFINED,TEST_REQUIRED,Assess lock dependencies; no physical claim
IF-R3-14,180,120,STATE_CONSTRAINT,MODEL_LEVEL_DEFINED,TEST_REQUIRED,Assess rebound dependency; no physical claim
