PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
Overall width,SYSTEM,500,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,V7 nominal concept envelope,High,Overall package definition,Not a vehicle-specific released dimension; conflicts with reconstructed envelope.,Source reconciliation + vehicle package,High,Controlled CAD/drawing + vehicle package
Overall depth,SYSTEM,520,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,V7 nominal concept envelope,High,Overall package definition,Coordinate convention conflicts with current model frame; not a released longitudinal package value.,Datum reconciliation + vehicle package,High,Controlled coordinate/datum definition
Overall height,SYSTEM,860,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,V7 nominal concept envelope,High,Overall package definition,Current reconstruction bbox differs from this concept envelope.,Authoritative geometry + package,High,Controlled envelope drawing + metrology
Nominal rearward recline,160/J,25,deg,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept-board parameter,Medium,Nominal occupant posture / packaging,Not equivalent to physical end-stop capability or vehicle-specific seating requirement.,H/R point + packaging + released hinge limits,High,Vehicle-specific seating definition
Rail nominal length,110L/110R,480,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept-board dimension,High,Rail travel packaging,"Current reconstruction primitive is 420 mm. This is a material conflict, not a resolved dimension.",Source-to-CAD reconciliation,Critical,Authoritative rail drawing
Rail spacing,110L/110R,420,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,R1 CAD assumption,High,Bilateral load path / package,"Current reconstruction uses ±210 in its own frame, but frame semantics conflict with V5/R0.",Coordinate reconciliation + vehicle hardpoints,Critical,Vehicle hardpoint mapping + rail datum
Carriage width,120,450,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Carriage package,Current reconstruction primitive is 470 mm in one axis.,Source-to-CAD reconciliation,High,Released carriage definition
Carriage length/depth,120,360,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Carriage package,Current reconstruction primitive is 460 mm in one axis; axis meaning itself is frame-dependent.,Source-to-CAD reconciliation,High,Released carriage definition
Seat pan width,140,450,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Pelvic control / packaging,Current reconstructed pan primitive 420 mm; embedded param register uses different depth.,Source-to-CAD reconciliation,High,Released pan definition
Seat pan depth,140,470,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Pelvic control / packaging,Current reconstructed pan primitive 430 mm; embedded parameter register gives 500 mm.,Source-to-CAD reconciliation,Critical,Controlled seat-pan definition
